Player,Match,Avg GSR Dips (Kills),Avg GSR Dips (Baseline),Avg HR Peaks (Kills),Avg HR Peaks (Baseline),GSR P-value,HR P-value,Total Kills
0,match_1_augmented.csv,2.3333333333333335,3.0,1.0,1.6666666666666667,0.4917670010221689,0.3739009663000589,3
1,match_1_augmented.csv,2.142857142857143,3.857142857142857,1.4285714285714286,1.2857142857142858,0.0215877752017828,0.6110132610984182,7
2,match_1_augmented.csv,3.4545454545454546,3.090909090909091,1.0909090909090908,1.2727272727272727,0.5411812227315169,0.5732980975448758,11
3,match_1_augmented.csv,,,,,,,0
4,match_1_augmented.csv,2.0,3.3333333333333335,1.0,0.3333333333333333,0.2745766290948482,0.373900966300059,3
5,match_1_augmented.csv,2.0,2.75,1.75,1.0,0.1489038747445396,0.05964616576002263,8
6,match_1_augmented.csv,2.0,3.4,1.0,1.2,0.008079082260411896,0.6075112145767009,5
7,match_1_augmented.csv,2.6666666666666665,3.6666666666666665,1.0,0.8333333333333334,0.1831545634528558,0.5994703106545751,6
8,match_1_augmented.csv,,,,,,,0
9,match_1_augmented.csv,2.933333333333333,2.8666666666666667,1.1333333333333333,1.4,0.9066576137629644,0.2989635150545873,15
0,match_2_augmented.csv,3.4615384615384617,2.8461538461538463,0.6153846153846154,0.6923076923076923,0.1658406295822499,0.8113298329643528,13
1,match_2_augmented.csv,3.6666666666666665,3.3333333333333335,0.4166666666666667,0.3333333333333333,0.5574658848869041,0.7313873606748846,12
2,match_2_augmented.csv,3.6666666666666665,3.3333333333333335,0.4444444444444444,0.8888888888888888,0.4896716611118702,0.3131211738484928,9
3,match_2_augmented.csv,3.8,3.3,0.1,0.6,0.322043535807316,0.05411518356856644,10
4,match_2_augmented.csv,2.3333333333333335,3.3333333333333335,0.8888888888888888,0.2222222222222222,0.08926814416265878,0.12836442807647935,9
5,match_2_augmented.csv,1.0,2.0,0.0,2.0,,,1
6,match_2_augmented.csv,1.5,3.5,0.5,1.0,0.10557280900008413,0.6984886554222364,2
7,match_2_augmented.csv,2.5,3.0,0.0,0.5,0.8075499102701248,0.42264973081037427,2
8,match_2_augmented.csv,,,,,,,0
9,match_2_augmented.csv,,,,,,,0
0,match_3_augmented.csv,1.5,2.0,1.0,2.0,0.6984886554222364,0.42264973081037427,2
1,match_3_augmented.csv,1.0,2.0,0.0,2.0,,,1
2,match_3_augmented.csv,2.0,2.6666666666666665,1.0,1.3333333333333333,0.6433299631818634,0.373900966300059,3
3,match_3_augmented.csv,,,,,,,0
4,match_3_augmented.csv,2.5,4.0,1.5,1.0,0.09546596626670911,0.6984886554222364,2
5,match_3_augmented.csv,2.6666666666666665,3.0,0.6666666666666666,1.3333333333333333,0.7246586364960954,0.23019964108049873,3
6,match_3_augmented.csv,2.6,2.6,1.2,1.2,1.0,1.0,15
7,match_3_augmented.csv,2.0,2.2,1.2,1.2,0.6937998380169581,1.0,5
8,match_3_augmented.csv,1.75,1.75,1.75,0.75,1.0,0.03001974528754439,4
9,match_3_augmented.csv,2.0,2.3076923076923075,1.1538461538461537,0.7692307692307693,0.4285038615833421,0.14180001441035456,13
0,match_4_augmented.csv,2.1,2.1,1.4,1.7,1.0,0.34190976278872975,10
1,match_4_augmented.csv,1.625,2.625,1.5,1.125,0.06316598190015589,0.22444947548422967,8
2,match_4_augmented.csv,2.5555555555555554,1.5555555555555556,1.4444444444444444,1.3333333333333333,0.018360889956062193,0.7465726898866589,9
3,match_4_augmented.csv,1.2,1.8,1.4,1.6,0.19501552810007564,0.5795839999999997,5
4,match_4_augmented.csv,2.4,2.3,1.3,1.4,0.8279140454175934,0.660055653189588,10
5,match_4_augmented.csv,1.0,3.0,1.0,2.0,,,1
6,match_4_augmented.csv,,,,,,,0
7,match_4_augmented.csv,2.0,4.0,1.0,2.0,,,1
8,match_4_augmented.csv,3.0,2.0,0.0,2.0,,,1
9,match_4_augmented.csv,2.0,3.0,1.0,1.0,,,1
0,match_5_augmented.csv,2.0,2.8,1.2,1.2,0.308008491917157,1.0,5
1,match_5_augmented.csv,2.3333333333333335,1.6666666666666667,0.8333333333333334,1.3333333333333333,0.12184932717055404,0.09243590837260099,6
2,match_5_augmented.csv,1.6,2.2,0.6,1.6,0.5212274578537051,0.020300093619883854,5
3,match_5_augmented.csv,2.2,2.3,1.0,1.6,0.8134803248504785,0.03719518635116053,10
4,match_5_augmented.csv,2.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.7246586364960956,1.0,3
5,match_5_augmented.csv,2.0,2.0,1.0,1.0,1.0,,2
6,match_5_augmented.csv,2.5,1.5,1.5,1.0,0.29289321881345254,0.42264973081037427,2
7,match_5_augmented.csv,1.0,2.0,0.0,2.0,,,1
8,match_5_augmented.csv,1.6666666666666667,3.3333333333333335,0.6666666666666666,1.6666666666666667,0.08900934250008564,0.25081535976844566,3
9,match_5_augmented.csv,1.0,2.0,1.0,1.0,,,1
0,match_6_augmented.csv,1.894736842105263,1.631578947368421,1.1578947368421053,1.4736842105263157,0.36562232218063395,0.14367670157502963,19
1,match_6_augmented.csv,1.5,2.0,1.5,1.0,0.42264973081037427,0.42264973081037427,2
2,match_6_augmented.csv,1.8333333333333333,1.6666666666666667,1.0,1.0,0.7208269913626657,1.0,6
3,match_6_augmented.csv,2.4,1.8,1.8,1.6,0.4608560143074202,0.5447373008044911,5
4,match_6_augmented.csv,1.875,2.0,1.375,1.5,0.7981241912542849,0.6419792419030744,8
5,match_6_augmented.csv,,,,,,,0
6,match_6_augmented.csv,1.0,3.0,1.0,1.0,,,1
7,match_6_augmented.csv,,,,,,,0
8,match_6_augmented.csv,,,,,,,0
9,match_6_augmented.csv,,,,,,,0
